time,cmd_lin_x,cmd_ang_z
1746638537.495209,0.15,0.0
1746638537.79491,0.15,0.0
1746638538.0734682,0.15,0.0
1746638538.3680294,0.1,-0.5
1746638538.5902042,0.1,-0.5
1746638538.8964515,0.1,-0.5
1746638539.265848,0.15,0.0
1746638539.5035782,0.15,0.0
1746638539.8705838,0.15,0.0
1746638540.174384,0.15,0.0
1746638540.4965026,0.15,0.0
1746638540.8732302,0.15,0.0
1746638541.2678466,0.15,0.0
1746638541.5882802,0.15,0.0
1746638541.8889403,0.15,0.0
1746638542.1955938,0.15,0.0
1746638542.585928,0.15,0.0
1746638542.895904,0.15,0.0
1746638543.1845741,0.15,0.0
1746638543.5965092,0.15,0.0
1746638543.9894526,0.15,0.0
1746638544.367717,-0.05,0.013516762293505069
1746638544.6649897,0.0,0.3
1746638544.8932338,0.0,0.3
1746638545.201859,0.0,0.3
1746638545.563119,0.0,0.3
1746638545.8792145,0.0,0.3
1746638546.3715622,-0.05,-0.9360868251299186
1746638546.690944,0.0,0.3
1746638546.996038,0.0,0.3
1746638547.5679078,0.0,0.3
1746638547.881165,0.0,0.3
1746638548.198824,0.0,0.3
1746638548.588896,-0.05,0.11537736175633162
1746638548.886564,0.0,0.3
1746638549.1893044,0.0,0.3
1746638549.5687857,0.0,0.3
1746638549.9717655,0.15,0.0
1746638550.4723828,0.0,0.3
1746638550.7851088,-0.05,-0.8229189604458763
1746638551.0834405,0.0,0.3
1746638551.4071097,0.0,0.3
1746638551.7776027,0.0,0.3
1746638552.1695287,0.0,0.3
1746638552.3931375,0.0,0.3
1746638552.7846076,0.15,0.0
1746638553.0748885,0.15,0.0
1746638553.4880638,0.15,0.0
1746638553.8631146,0.15,0.0
1746638554.1995907,0.15,0.0
1746638554.572167,0.15,0.0
1746638554.8722208,0.15,0.0
1746638555.1886997,0.1,0.5
1746638555.4826431,0.1,0.5
1746638555.77079,0.1,0.5
1746638556.0920043,0.1,0.5
1746638556.5938485,0.1,0.5
1746638556.9644299,0.15,0.0
1746638557.2851405,0.1,0.5
1746638557.5941107,0.1,0.5
1746638557.9029322,0.1,0.5
1746638558.1871736,0.1,0.5
1746638558.573125,0.1,0.5
1746638558.9701183,0.1,0.5
1746638559.3671086,0.15,0.0
1746638559.7054677,0.15,0.0
1746638560.065227,0.15,0.0
1746638560.2837827,0.15,0.0
1746638560.5893621,0.15,0.0
1746638560.8825433,0.15,0.0
1746638561.171094,0.15,0.0
1746638561.4816918,0.15,0.0
1746638561.7772262,0.15,0.0
1746638562.1926224,0.15,0.0
1746638562.5764885,0.15,0.0
1746638562.8892317,0.15,0.0
1746638563.2767885,0.15,0.0
1746638563.4955552,0.15,0.0
1746638563.800479,0.15,0.0
1746638564.16601,0.15,0.0
1746638564.4745753,0.15,0.0
1746638564.7830946,0.15,0.0
1746638565.1685297,0.15,0.0
1746638565.4025347,0.15,0.0
1746638565.7094057,0.15,0.0
1746638566.0730555,0.15,0.0
1746638566.471729,0.15,0.0
1746638566.6920183,0.15,0.0
1746638566.985585,0.15,0.0
1746638567.2999718,0.15,0.0
1746638567.5958157,0.15,0.0
1746638567.8831549,0.15,0.0
1746638568.263208,0.15,0.0
1746638568.5631824,0.15,0.0
1746638568.8882127,0.15,0.0
1746638569.2690809,0.15,0.0
1746638569.5981312,0.15,0.0
1746638569.878384,0.15,0.0
1746638570.269056,0.15,0.0
1746638570.6005085,0.15,0.0
1746638570.8832188,0.15,0.0
1746638571.2711194,0.15,0.0
1746638571.6666727,0.15,0.0
1746638571.9942584,0.15,0.0
1746638572.385262,0.15,0.0
1746638572.7834036,0.15,0.0
1746638573.0715845,0.15,0.0
1746638573.3722675,0.15,0.0
1746638573.6860723,0.15,0.0
1746638574.0746758,0.15,0.0
1746638574.4703503,0.15,0.0
1746638574.7695916,0.15,0.0
1746638575.0899541,0.15,0.0
1746638575.481089,0.15,0.0
1746638575.8916144,0.15,0.0
1746638576.2051926,0.15,0.0
1746638576.6868434,0.15,0.0
1746638577.076955,0.15,0.0
1746638577.3963668,0.15,0.0
1746638577.6991262,0.15,0.0
1746638577.9984472,0.15,0.0
1746638578.3044045,0.15,0.0
1746638578.6684399,0.15,0.0
1746638578.9841616,0.15,0.0
1746638579.3876123,0.15,0.0
1746638579.8060303,0.15,0.0
1746638580.1943252,0.15,0.0
1746638580.51237,0.15,0.0
1746638580.9978223,0.15,0.0
1746638581.3753347,0.15,0.0
1746638581.6856952,0.15,0.0
1746638582.0069768,0.15,0.0
1746638582.3918324,0.15,0.0
1746638582.765603,0.15,0.0
1746638583.096316,0.15,0.0
1746638583.3737235,0.15,0.0
1746638583.7718582,0.15,0.0
1746638584.0804348,0.15,0.0
1746638584.4781568,0.15,0.0
1746638584.788162,0.15,0.0
1746638585.083934,0.15,0.0
1746638585.3641675,0.15,0.0
1746638585.7051358,0.15,0.0
1746638586.0636983,0.15,0.0
1746638586.302649,0.15,0.0
1746638586.7893615,0.15,0.0
1746638587.27953,0.15,0.0
1746638587.5686646,0.15,0.0
1746638587.8969178,0.15,0.0
1746638588.1766744,0.1,0.5
1746638588.4821315,0.1,0.5
1746638588.7669175,0.1,0.5
1746638589.0739284,0.1,0.5
1746638589.2905126,0.1,0.5
1746638589.6697779,0.1,0.5
1746638590.1033814,0.15,0.0
1746638590.4682078,0.15,0.0
1746638590.778325,0.15,0.0
1746638591.0953848,0.15,0.0
1746638591.4002848,0.15,0.0
1746638591.7116716,0.15,0.0
1746638592.1686096,0.15,0.0
1746638592.4060454,0.15,0.0
1746638592.6765842,0.15,0.0
1746638593.0891783,0.15,0.0
1746638593.4684074,0.15,0.0
1746638593.76633,0.15,0.0
1746638594.076134,0.15,0.0
1746638594.3927794,0.1,0.5
1746638594.7645166,0.1,0.5
1746638595.0649283,0.1,0.5
1746638595.4058642,0.1,0.5
1746638595.6963637,0.1,0.5
1746638596.0007422,0.1,0.5
1746638596.2966268,0.1,0.5
1746638596.6707878,0.1,0.5
1746638596.9896214,0.1,0.5
1746638597.298216,0.1,0.5
1746638597.6845949,0.1,0.5
1746638597.9802575,0.15,0.0
1746638598.3063223,0.15,0.0
1746638598.674428,0.15,0.0
1746638599.0974128,0.15,0.0
1746638599.5628319,0.15,0.0
1746638599.8847878,0.15,0.0
1746638600.1928368,0.15,0.0
1746638600.5650432,0.15,0.0
1746638600.8019516,0.15,0.0
1746638601.2022853,0.15,0.0
1746638601.5663247,0.15,0.0
1746638601.8836663,0.15,0.0
1746638602.1809065,0.15,0.0
